stemming_data,Compound_Score,sentiment
miguelariass los panas de gaelicamusic deben tener algun contacto al respecto,0.0,netral
idextratime weih mkin panas,0.0,netral
con goles de nicojackson mudryk y gallagher nuestro chelsea venci al leeds united y avanza a los tos de final de la emiratesfacup nuestro rival ser el leicester city httpstcomkzdsvwtz,0.4215,positif
luisagonzalezec continuismo o es que est n solos y solos con los narcos continuismo jaja claro es que no les conviene que haya consulta por qu extraditan a sus panas y a otras preguntas ustedes est n del lado de la mafia,-0.296,negatif
dttenshink puso una mano en la mientras negaba con la cabeza debi ser olga mi ara a mascota una ara a le arruino el escondite httpstcoqeioomhpab,0.0,netral
ugly fuckin idiot who has made this bridge  coba kalo salju hujan panas gabisa teduh kalo jalan banget jalan nyebrang doang pemprov seoul ajar lu httpstcoaiotckxix,-0.7841,negatif
fungsi jpo atap pandang luasgk sumpek engga dipake homeless tidur kotor jpo cegah kriminal jpo ataptoh abis lewat jpo tetep kena panasujan paok kali orangkami tinggal jakarta aja ngerti,0.0,netral
marukaneko coklat panas,0.0,netral
yee malaysia panas eh merah httpstcoxqedlcnf,0.0,netral
putw iye cuyy bener aje ye haters hidup kite depan adem eh gatau nye belakang doi panas banget,-0.4939,negatif
dttenshink ssi es que hace ya tiempo que no como algunos as que aproveche hacer unos pocos httpstcoqrluerqy,-0.296,negatif
mata gue panas,0.0,netral
inyorfes takut panas hujan mending rumah aja manja,0.0,netral
no ustedes pero me molesta mucho los panas que creen que marvel es solo peliculas y cuando dicen marvel solo refieren al mcu,0.5267,positif
gila pala gw ken gw copot aja pusing mata panas air idung mampet aduh,0.0,netral
kyknya gak ngantor badan panas,0.0,netral
luque y lassotus panasson mafiosos comprobadoscorrea es un perseguido por esa mafiay pol ticos y su prensa corrupta,0.0,netral
dukkkkkk midukkkkkkkk duduk dg tenang hati panas banget,0.0,netral
posrondaanfield gakpo panas liat bocil nyekor,0.0,netral
maret udah assalamualaikum ramadhan udah ahlan wa sahlan politik panas ae dah kek gaada henti politik teruuuss ngumbar benci mana eneg aja ken blokir aja paslon z gedek ngebenci,0.0,netral
a mi me han rebotado muchas mujeres y na la vida sigue y suelto eso en banda tan dificil que e eso pa pal de panas,0.0,netral
marabsoto ey eso no hace los panas haci ndose cocote contigo y t dej ndolos en bemba,-0.296,negatif
dttenshink qque llo hizo ppensando en mi claro httpstcoakefmvku,0.0,netral
el modo historia arena es una cagada literal solo importa la historia de personajes mejor jueguen solo el modo historia ultimax o lean el manga pero puta madre como amo las peleas y mas jugar con panas o en online recomendado que te caguen a pi as en el online httpstcogvebcanaa,0.0,netral
season of warmth indonesia cuaca panas panas banget ya,0.4588,positif
yo cuando los panas de bumble tinder me invitan a salir pero yo solo baj la app por aburrimiento y no porque quiera salir con ellos,-0.296,negatif
alertaplanas hace pocos minutos el pleno del cnegobec aprob los dise os del material electoral documentos y papeleta con las preguntas el refer ndum y consultapopular httpstcorimdeymdy,0.0,netral
luque y lassotus panas son mafiosos comprobadoscorrea si es perseguido pol tico,0.0,netral
dttenshink eeh ni cuenta dio de cuando le sub encima ssi tos mal tu igual estas bien httpstcogaopteez,0.0,netral
gila panas bgt sih,0.0,netral
un gustabo vol sobre mi vol un auto con rasho laser,0.0,netral
yeontannuna aamiinn btw stay safe ya jaga sehat cuaca panas dingin,0.4404,positif
yo y los panas cuando,0.0,netral
thabruh como funciona httpstcoqzfrdfyql,0.0,netral
trotoar jpo ya beda panasmutlak hujan utk jpo kl jalan trotoar jalan yg tempuh ga halte st mrt ya jalan ga,0.0,netral
bisabisanya subuhsubuh udah panas arghhhh,0.0,netral
dttenshink oh perd n estuve preocupado por mis hijos y creo que me desconecte de todo lo dem s lamento preocuparte httpstcoheiagoqutr,0.0,netral
danawallet min nomor tipu atas nama admin dana web phising mohon tindak min siber lacak biar mampus xixi hati sobat kwn kalo ketemu nomor inikalo yg nomor liat panas yach hehe httpstcoqtgorybnw,0.0,netral
as es la vida mis panas,0.0,netral
gabbiigc santafe mis panas las lkl por el cisf ,0.0,netral
convomfs wahahaha muncul kepala gua putus ngerokok panas pait nyegrak tenggorok udeh gausah kepo ga worth ngabisin duit,0.2263,positif
notiuno comprando votos que desesperados estan los del partido de los cocos o de los panas,0.0,netral
day record day dont feel like running kmh lepas mute engine room panas af like c seawater c cooling for machinery so panas no mood to run haha httpstcotjwqmvd,0.2291,positif
hioghak no lo conozco solo pens que tenias uno por las marcas en tu cuello httpstcocndaelva,-0.296,negatif
barrsbars herricahyadi kritik jpo atap ga masuk akal bikin panas cuaca panas bikin basah cuaca hujan oke jpo nya kasih atap jd ga panas hujan kah selesai lewat jpo krn trotoar nya ga atap krtitikan konyol,0.0,netral
lospodcast lo siento abuelito jaja cuidare bien mis palabras la proxima solo me tomo con humor la situacion tratare de ser tos basado y tirar tos factos don panas ,0.2732,positif
rocilucy es que me imagino que en ese caso as como los malos son los que not en este caso los compatriotas escandalosos en redes los que rebuznan son justo lo peor de all y no son representativos de todo un pa s pero andan on fire los panas,-0.5574,negatif
fflevi brawlstarsbtln gud luck panas ,0.4588,positif
urgentepanas fiscaliaecuador informa que con base al anuncio de prueba jueza llama a juicio a carlos edwin a l laura dayanara c v erick r p v ctor f alexandra ch f y scar f t por el asesinato de fernando villavicencio httpstcokzpdlmg,0.4588,positif
jatidirifirm hahaha panas ya lu kalah kalah saing kalah basis,0.5574,positif
ohmybeautybank vit c,0.0,netral
twixergizmo krippm du meinst er wird geselbstmordet ,0.0,netral
y de repente extra plaza r o jajaja perdiendo la noci n del tiempo jugando guitar hero con las y los panas,0.5574,positif
esmilopanas ikamulyani zuhriafif dragontall tubirfess dasar teh panas,0.0,netral
herricahyadi hujan pakai jas hujan payung kalo panas pakai topi ribet,0.0,netral
dttenshink ya ya perd n mapachita ahora por que te preocupaste por mi httpstcojooxajunaa,0.0,netral
la posta tendr conciencia sentir n algo raros estos panas quieren salir a justificar sus a erias con trabajo investigativo vendieron y instigaron bajarse a un fernando que estaba luchando solo contra las mafias es hora de luchar todo un pa s contra estas ratas,0.0,netral
memesdelmijin danielsalcan no mudo debe gobernar beneficiar a las mayor as empobrecidas no a los panas que tienen pagarse carreras a la vez deja de ser pendejo,-0.5267,negatif
aranchipm ajjajajaja en otra vida entonces fuimos panas,0.0,netral
mis panas y yo en nuestros momentos m s n tidos,0.0,netral
umarval soy caraque o y como buen caraque o puedo reconocer a otro caraque o y esos panas no son xddd,-0.296,negatif
calowizzz los panas tuyos,0.0,netral
dttenshink eh de que hablas comiste mucha nuez acaso httpstcoaexzgumz,0.0,netral
busca to hu sped de maracaibozulia ir al concierto de arca en caracas el sitio ya est reservado as que es cuesti n de coordinar somos panas i promise el resto  httpstcomgevqhdw,0.3182,positif
idkjoff sigamos siendo panas no m s,-0.296,negatif
convomfs panas banget hr,0.0,netral
kevingame semarco oye que tus panas est n involucrados dicen,0.0,netral
thabruh eh as hacen httpstcocsitmgyo,0.0,netral
dttenshink si puedo ver que esta un poco caliente movi un poco la mano con la que sujeto el ramen tratando de que enfri un poco bueno que te trae por mi barrio de cholos rakkun httpstcojlcams,0.0,netral
mis panas que me cont is de la serie the outpust la hab is visto porque he visto el primer cap tulo y ya estoy a favor de la sangre negra sos ojazos son maravillosos,0.4019,positif
eepytweets wkwkwkwk kayak gitu ntar siang udah gak panas sih,0.0,netral
fvfoficial a esperar a los buenos panas los buhoneros con sus r plicas semi originales ser xq y ir n a pagar los enchufados,0.0,netral
bro friendly reminder que traes beef con una morra de que su mayor preocupaci n es ver qp con su viaje de graduaci n con los panas,0.4939,positif
josarenacido entre panas no existe el joseo,-0.296,negatif
hueee bangun semuanyaaaaa orang tua rujukk  teharuuuuuuuuuu lumayan panas yh jujur gue ikut ketar tir endingnya ,0.0,netral
equatoriani patynunezrch danielnoboaok terrible ya parece esos doctorados truchos que le dab los panas socialistas al tarado de correa,-0.4767,negatif
cari kos deket kantor minimal jarak tempuh gak menit hemat bensin gak effort siapsiap pagi gak kena panas hujan udah tahun pensiun laju jarak efek less stress,-0.3626,negatif
thabruh no solo golpea un poco a pap si quieres fue su culpa y mam no pudo hacer mucho httpstconwreiin,-0.5267,negatif
lapostaecu anderssonboscan pregunten a sus panas pues uds que andan de pipi cogido con fitos y dem s,0.0,netral
dttenshink rakkun es que cas todos en este barrio son latinos muestra un ramen que tenia en la mano tienes suerte de que no fueran tan buenos como yo o te quedabas sin ramen httpstcoxtogtu,-0.7003,negatif
yooperia if they combined it with deadening the ball then it would be fine they wont do that though because fans dig the longball and pitcher strikeouts too,0.2023,positif
que risa que siga usando el emote de los panas,0.0,netral
climbingguy bullwinner henti hormat panas teriak teriak pecat ,0.0,netral
dttenshink chucha te dije que tuvieras cuidado corre a abrir la puerta dale entra r pido httpstcosiqibaihr,0.0,netral
thechipi as destruye todo lo p blico que beneficien su panas del lleve de los altos precios de la educaci n privada,0.0,netral
tumben dingin panas,0.0,netral
caaburry  mobil mewah produksi eropa milik belah jalan mh thamrin arah senayan kepala angguk angguk perlahan buka kaca mobil teguk wine malam reaksi wajah panas butuh udara segar  ,0.0,netral
thabruh describir perfectamente la escena de como sus padres tuvieron relaciones sexuales en la sala sin haberse percatado de su presencia y eso paso httpstcoueyvywkp,-0.5574,negatif
dengar abu ubaidah bin abdullah bin masud cerita ayah rasulullah shallallahu alaihi wasallam duduk rakaat seakanakan beliau duduk batu panas syubah b hadits httpstcomkxyectfn,0.0,netral
hay que tenerlo en cuenta mis panas,0.0,netral
thabruh vi algo que desear a no haber visto httpstcoqenlyqrzye,-0.296,negatif
dttenshink bueno un problema tos ahora solo queda esperar a rakkun y si todo sale bien no encontrara a siri httpstcoqskyecqb,-0.296,negatif
trs pas posting cf trs gue masuk list cf nya gue ya heran ya emang deket ya kagak asa pamer ya gak panas sih sesal pas nolak cowok model kek gt red flag sih,0.2732,positif
yeickens juliomancillab ablascoron ahora dilo pero sin llorar la mayor a de los que nos quejamos lo hicimos de manera general pero como el odio hacia las mujeres es cas un deporte hace viral el hecho de que ni una chama fue considerada esto y pretenden culpar una panas que lo que hacen es trabajar,-0.5574,negatif
badan panas bgt kepala puyeng aja ga enak bgt,0.0,netral
enaltecer a los panas es enaltecerse a uno mismo,0.0,netral
syuraibrhm samalahh panas peluh aircond pon peluh,0.0,netral
ment por mis panas doy la ultima gota de mi sangre si hace falta,0.0,netral
singtuankittyl istopherenow butuh roti panas oven,0.0,netral
voy a twitter a saludar a mis panas que seguro est n felices y cont,0.0,netral
alertapanas ffaaecuador aclara que los cuerpos encontrados sin vida y que vest an ropa militar no pertenecen a ninguna de las ramas del ej rcito httpstcokeqjqjpmvx,-0.7003,negatif
caibar c mo que odio literalmente de mis turbo panas los rolean a m tambi n me gustan pero no tanto,-0.296,negatif
lvdvvig lo de la hache no tiene pase pero conf o me lo perdonen los panas,-0.296,negatif
luego del stream de ayer esto va mis dos panas  ryumoonlady vuelmanifiesto couple art digitalart digitaldrawing myart fanart saesthetic sanime animeart artistontwitter artistonx illustration illustrations artwork httpstcogiugljeq,0.0,netral
karna langsung longsor bjir alias banda panas ywdh cb dingin nangor meminimalisir muka oily kuh,0.0,netral
musim panas ni tido sikit kang makan kaki,0.0,netral
adobubble not reallyyy dah telan ubat gastric minum air panas and sapu minyak hopefully will get better soon why are you not asleep yet,0.6808,positif
bocilbocil main kayak chevrolet habis ganti oli lambat panas,0.0,netral
enyayoruneko futuros esposos o amigospanas,0.0,netral
esta bien papi sino me quieres tu me van a querer tus panas y eso ya lo comprobaste ,0.0,netral
latinosxverdad ya los voy a enviar a mis panas recien llegado,0.0,netral
bangun nya panas gerah anjir laa jam gin,0.0,netral
amazon bueno gente esto era un baiteito de panas pero dentro de poco har realidad as que seguidme en youtube estar atentos a todo sobre el mensaje es que sortean tarjetas regalo xd,0.6705,positif
alistairpr estos tipos son una jodienda usando google y llamando panas,0.0,netral
mcalderoncerame saludos manuelque el msj acuerdo de la urb los choferesque la usaron de atajo los camiones de asfalto en los caminos de los panas del alcalde pero olvidaron de la calle juan d lefebre,0.0,netral
garciabanchs anibalcripto,0.0,netral
tesla trschatz todos son unos narcos o panas de los narcos,0.0,netral
rcavada jesumanifica dios bendiga esos panas y calme la batalla de esa se ora que ha tomado esta desicion tan horrible,-0.2732,negatif
btcandres,0.0,netral
hevercastrob,0.0,netral
jesusabraham aarondanielcal con castro sabe varias seguro con daza tambi n tovar chacin rondon mujica el cardo dale a destruirlos con tus panas anticaraquistas,0.0,netral
mi amigo el q m s quiere a sus panas tdo un amoroso ,0.5106,positif
riyanto chroniclea maksud fasilitas tunjang mobilitas kaya jpo trotoar ga pake atap ya kalo standar manjain pejal kaki dg atap ya fasilitas atap utk jpo amp trotoar wil indonesia krn panas hujan ga cm d jkt aja,0.0,netral
dustdirecto buenas tardes hombre polvo buen dustman personas del chat que todos tengam un gran hoy un peque o meme sobre los gustos finos del hombre es que hist ricamente el hombre y los reptiles han sido panas desde tiempos legendarios httpstcobwwphqh,0.0,netral
garisinter toro panaspanasnya,0.0,netral
feliz d a de andaluc a mis panas httpstcobloauvko,0.0,netral
jam drive jaga saif mintak air lepas air nak tidur si saif lepas tu ngadu perut sakit mintak air panas pergi jerang air ni lepas dah minum air panas nak tidur kena peluk certified anak,0.0,netral
salir con los panas es estar dici ndole vamos o no hasta cuando falta un minuto pa salir malditos indecisos,-0.296,negatif
bangunbangun tenggorok dada rasa panas,0.0,netral
jajaj q cool que mis panas de la uni pongan atenci n cuando les cuento algo les dije que me gustar a el wwek httpstcotpfjioghwk,0.3182,positif
lapostaecu anderssonboscan ahora resulta que andan preocupados por villavicencio si reun an c mo panas con sus verdugos m s falsos que moneda de usd,0.0,netral
finkledusty but presenting ones uninformed opinions as fact or only platforming that one opinion or research that wasnt peer reviewed to invalidate years of research is not only disingenuous but dangerous thats what we are talking about here,-0.631,negatif
radiopichincha quien le manda a estar en el tubo y luego en el congreso deb a haberse quedado con el tubo y sus panas delincuentes,0.0,netral
pocongmeong hakariphonx chroniclea udh jepang pas musim panas,0.0,netral
jagomales wisnukatep idextratime panas  tim elu panas old money masuk juara ucl kemaren ,0.0,netral
kl ujan nyusahin ya weather forecast mas suka ngaco bawa payung bom budaya ya bener emg kasih atap sih kl jalan trotoar biar adem kalo niat bikin yg walkable krn kota panas,0.0,netral
simjaevv panas bgtt gak kuat,0.0,netral
hioghak deber preguntarte a tu novio entonces httpstcokqujzain,0.0,netral
enzo fern ndez ahora tendr que cumplir una suspensi n de partido tras recibir otra tarjeta amarilla no estar en los tos de final de la emiratesfacup contra el leicester city httpstcotdhlnytowj,-0.296,negatif
sejuk ya allah hujung hujung sakaratul maut panas sejuk,0.0,netral
ngebales reply thread tokyo jepang on average panas sisa ademdingin jakarta panas tahun kl ga panas ya ujan kl jembatan dipake sesuai untuk ya better tutup senayan bagus pdhl,0.4404,positif
hioghak una lastima que no hacer eso ya que httpstcotkofu,-0.296,negatif
memesdelmijin lapostaecu anderssonboscan jajajaja lo villavicenciolovers antes panas de boscan,0.0,netral
kaelakovalskia enak la hawa adem gak panas teruss,0.0,netral
si los panas me enviaran un buchanan de pi a pa pichar le envio los chavos,0.0,netral
musim masuk pancaroba nih siang panas banget kalo malem kangen httpstcotkodzadcjl,0.0,netral
alexisdino dando paso libre a sus panas narcos obvio que no pasaba borrego hijue puta,-0.296,negatif
pdhl gue udh nasehatin ninggalin barang panas krn adek gue nyalain setrika malem nyetrika seragam tp tinggal tidur jam jam ampe gagang panas skrg kompor tinggal anjir gmn klo malem gue msh apart nadia coba httpstcoqtbqwmip,0.0,netral
los logros de los panas celebran como propios,0.0,netral
